celeb,height,weight,h,w,BMI,round(BMI)
Kevin Bacon0.jpg,1.78m,80kg,1.78,80,25.2493372,25.25
Kevin Bacon1.jpg,1.78m,80kg,1.78,80,25.2493372,25.25
Kevin Bacon10.jpg,1.78m,80kg,1.78,80,25.2493372,25.25
Kevin Bacon11.jpg,1.78m,80kg,1.78,80,25.2493372,25.25
Kevin Bacon12.jpg,1.78m,80kg,1.78,80,25.2493372,25.25
Kevin Bacon13.jpg,1.78m,80kg,1.78,80,25.2493372,25.25
Kevin Bacon14.jpg,1.78m,80kg,1.78,80,25.2493372,25.25
Kevin Bacon15.jpg,1.78m,80kg,1.78,80,25.2493372,25.25
Kevin Bacon16.jpg,1.78m,80kg,1.78,80,25.2493372,25.25
Kevin Bacon17.jpg,1.78m,80kg,1.78,80,25.2493372,25.25
Kevin Bacon18.jpg,1.78m,80kg,1.78,80,25.2493372,25.25
Kevin Bacon19.jpg,1.78m,80kg,1.78,80,25.2493372,25.25
Kevin Bacon2.jpg,1.78m,80kg,1.78,80,25.2493372,25.25
Kevin Bacon3.jpg,1.78m,80kg,1.78,80,25.2493372,25.25
Kevin Bacon4.jpg,1.78m,80kg,1.78,80,25.2493372,25.25
Kevin Bacon5.jpg,1.78m,80kg,1.78,80,25.2493372,25.25
Kevin Bacon6.jpg,1.78m,80kg,1.78,80,25.2493372,25.25
Kevin Bacon7.jpg,1.78m,80kg,1.78,80,25.2493372,25.25
Kevin Bacon8.jpg,1.78m,80kg,1.78,80,25.2493372,25.25
Kevin Bacon9.jpg,1.78m,80kg,1.78,80,25.2493372,25.25
Kevin Costner0.jpg,1.85m,88kg,1.85,88,25.71219869,25.71
Kevin Costner1.jpg,1.85m,88kg,1.85,88,25.71219869,25.71
Kevin Costner10.jpg,1.85m,88kg,1.85,88,25.71219869,25.71
Kevin Costner11.jpg,1.85m,88kg,1.85,88,25.71219869,25.71
Kevin Costner12.jpg,1.85m,88kg,1.85,88,25.71219869,25.71
Kevin Costner13.jpg,1.85m,88kg,1.85,88,25.71219869,25.71
Kevin Costner14.jpg,1.85m,88kg,1.85,88,25.71219869,25.71
Kevin Costner15.jpg,1.85m,88kg,1.85,88,25.71219869,25.71
Kevin Costner16.jpg,1.85m,88kg,1.85,88,25.71219869,25.71
Kevin Costner17.jpg,1.85m,88kg,1.85,88,25.71219869,25.71
Kevin Costner18.jpg,1.85m,88kg,1.85,88,25.71219869,25.71
Kevin Costner19.jpg,1.85m,88kg,1.85,88,25.71219869,25.71
Kevin Costner2.jpg,1.85m,88kg,1.85,88,25.71219869,25.71
Kevin Costner3.jpg,1.85m,88kg,1.85,88,25.71219869,25.71
Kevin Costner4.jpg,1.85m,88kg,1.85,88,25.71219869,25.71
Kevin Costner5.jpg,1.85m,88kg,1.85,88,25.71219869,25.71
Kevin Costner6.jpg,1.85m,88kg,1.85,88,25.71219869,25.71
Kevin Costner7.jpg,1.85m,88kg,1.85,88,25.71219869,25.71
Kevin Costner8.jpg,1.85m,88kg,1.85,88,25.71219869,25.71
Kevin Costner9.jpg,1.85m,88kg,1.85,88,25.71219869,25.71
Kevin Durant0.jpg,2.06m,109kg,2.06,109,25.68573852,25.69
Kevin Durant1.jpg,2.06m,109kg,2.06,109,25.68573852,25.69
Kevin Durant10.jpg,2.06m,109kg,2.06,109,25.68573852,25.69
Kevin Durant11.jpg,2.06m,109kg,2.06,109,25.68573852,25.69
Kevin Durant12.jpg,2.06m,109kg,2.06,109,25.68573852,25.69
Kevin Durant13.jpg,2.06m,109kg,2.06,109,25.68573852,25.69
Kevin Durant14.jpg,2.06m,109kg,2.06,109,25.68573852,25.69
Kevin Durant15.jpg,2.06m,109kg,2.06,109,25.68573852,25.69
Kevin Durant16.jpg,2.06m,109kg,2.06,109,25.68573852,25.69
Kevin Durant17.jpg,2.06m,109kg,2.06,109,25.68573852,25.69
Kevin Durant18.jpg,2.06m,109kg,2.06,109,25.68573852,25.69
Kevin Durant19.jpg,2.06m,109kg,2.06,109,25.68573852,25.69
Kevin Durant2.jpg,2.06m,109kg,2.06,109,25.68573852,25.69
Kevin Durant3.jpg,2.06m,109kg,2.06,109,25.68573852,25.69
Kevin Durant4.jpg,2.06m,109kg,2.06,109,25.68573852,25.69
Kevin Durant5.jpg,2.06m,109kg,2.06,109,25.68573852,25.69
Kevin Durant6.jpg,2.06m,109kg,2.06,109,25.68573852,25.69
Kevin Durant7.jpg,2.06m,109kg,2.06,109,25.68573852,25.69
Kevin Durant8.jpg,2.06m,109kg,2.06,109,25.68573852,25.69
Kevin Durant9.jpg,2.06m,109kg,2.06,109,25.68573852,25.69
Kevin Hart0.jpg,1.63m,64kg,1.63,64,24.08822312,24.09
Kevin Hart1.jpg,1.63m,64kg,1.63,64,24.08822312,24.09
Kevin Hart10.jpg,1.63m,64kg,1.63,64,24.08822312,24.09
Kevin Hart11.jpg,1.63m,64kg,1.63,64,24.08822312,24.09
Kevin Hart12.jpg,1.63m,64kg,1.63,64,24.08822312,24.09
Kevin Hart13.jpg,1.63m,64kg,1.63,64,24.08822312,24.09
Kevin Hart14.jpg,1.63m,64kg,1.63,64,24.08822312,24.09
Kevin Hart15.jpg,1.63m,64kg,1.63,64,24.08822312,24.09
Kevin Hart16.jpg,1.63m,64kg,1.63,64,24.08822312,24.09
Kevin Hart17.jpg,1.63m,64kg,1.63,64,24.08822312,24.09
Kevin Hart18.jpg,1.63m,64kg,1.63,64,24.08822312,24.09
Kevin Hart19.jpg,1.63m,64kg,1.63,64,24.08822312,24.09
Kevin Hart2.jpg,1.63m,64kg,1.63,64,24.08822312,24.09
Kevin Hart3.jpg,1.63m,64kg,1.63,64,24.08822312,24.09
Kevin Hart4.jpg,1.63m,64kg,1.63,64,24.08822312,24.09
Kevin Hart5.jpg,1.63m,64kg,1.63,64,24.08822312,24.09
Kevin Hart6.jpg,1.63m,64kg,1.63,64,24.08822312,24.09
Kevin Hart7.jpg,1.63m,64kg,1.63,64,24.08822312,24.09
Kevin Hart8.jpg,1.63m,64kg,1.63,64,24.08822312,24.09
Kevin Hart9.jpg,1.63m,64kg,1.63,64,24.08822312,24.09
Kevin James0.jpg,1.72m,113kg,1.72,113,38.19632234,38.2
Kevin James1.jpg,1.72m,113kg,1.72,113,38.19632234,38.2
Kevin James10.jpg,1.72m,113kg,1.72,113,38.19632234,38.2
Kevin James11.jpg,1.72m,113kg,1.72,113,38.19632234,38.2
Kevin James12.jpg,1.72m,113kg,1.72,113,38.19632234,38.2
Kevin James13.jpg,1.72m,113kg,1.72,113,38.19632234,38.2
Kevin James14.jpg,1.72m,113kg,1.72,113,38.19632234,38.2
Kevin James15.jpg,1.72m,113kg,1.72,113,38.19632234,38.2
Kevin James16.jpg,1.72m,113kg,1.72,113,38.19632234,38.2
Kevin James17.jpg,1.72m,113kg,1.72,113,38.19632234,38.2
Kevin James18.jpg,1.72m,113kg,1.72,113,38.19632234,38.2
Kevin James19.jpg,1.72m,113kg,1.72,113,38.19632234,38.2
Kevin James2.jpg,1.72m,113kg,1.72,113,38.19632234,38.2
Kevin James3.jpg,1.72m,113kg,1.72,113,38.19632234,38.2
Kevin James4.jpg,1.72m,113kg,1.72,113,38.19632234,38.2
Kevin James5.jpg,1.72m,113kg,1.72,113,38.19632234,38.2
Kevin James6.jpg,1.72m,113kg,1.72,113,38.19632234,38.2
Kevin James7.jpg,1.72m,113kg,1.72,113,38.19632234,38.2
Kevin James8.jpg,1.72m,113kg,1.72,113,38.19632234,38.2
Kevin James9.jpg,1.72m,113kg,1.72,113,38.19632234,38.2
Kevin Kiley Jr0.jpg,1.93m,122kg,1.93,122,32.75255712,32.75
Kevin Kiley Jr1.jpg,1.93m,122kg,1.93,122,32.75255712,32.75
Kevin Kiley Jr10.jpg,1.93m,122kg,1.93,122,32.75255712,32.75
Kevin Kiley Jr11.jpg,1.93m,122kg,1.93,122,32.75255712,32.75
Kevin Kiley Jr12.jpg,1.93m,122kg,1.93,122,32.75255712,32.75
Kevin Kiley Jr13.jpg,1.93m,122kg,1.93,122,32.75255712,32.75
Kevin Kiley Jr14.jpg,1.93m,122kg,1.93,122,32.75255712,32.75
Kevin Kiley Jr15.jpg,1.93m,122kg,1.93,122,32.75255712,32.75
Kevin Kiley Jr16.jpg,1.93m,122kg,1.93,122,32.75255712,32.75
Kevin Kiley Jr17.jpg,1.93m,122kg,1.93,122,32.75255712,32.75
Kevin Kiley Jr18.jpg,1.93m,122kg,1.93,122,32.75255712,32.75
Kevin Kiley Jr19.jpg,1.93m,122kg,1.93,122,32.75255712,32.75
Kevin Kiley Jr2.jpg,1.93m,122kg,1.93,122,32.75255712,32.75
Kevin Kiley Jr3.jpg,1.93m,122kg,1.93,122,32.75255712,32.75
Kevin Kiley Jr4.jpg,1.93m,122kg,1.93,122,32.75255712,32.75
Kevin Kiley Jr5.jpg,1.93m,122kg,1.93,122,32.75255712,32.75
Kevin Kiley Jr6.jpg,1.93m,122kg,1.93,122,32.75255712,32.75
Kevin Kiley Jr7.jpg,1.93m,122kg,1.93,122,32.75255712,32.75
Kevin Kiley Jr8.jpg,1.93m,122kg,1.93,122,32.75255712,32.75
