celeb,height,weight,h,w,BMI,round(BMI)
Peter Ustinov17.jpg,1.75 m,68 kg,1.75,68,22.20408163,22.2
Olympia Dukakis13.jpg,1.71 m,52 kg,1.71,52,17.78324955,17.78
Niecy Nash15.jpg,1.73 m,86 kg,1.73,86,28.73467206,28.73
River Phoenix19.jpg,1.63 m,54 kg,1.63,54,20.32443826,20.32
Lisa Kudrow10.jpg,1.73m,61kg,1.73,61,20.38156971,20.38
Kiefer Sutherland1.jpg,1.75m,75kg,1.75,75,24.48979592,24.49
Rita Hayworth14.jpg,1.69 m,50 kg,1.69,50,17.50638983,17.51
Lee Marvin9.jpg,1.88m,86kg,1.88,86,24.33227705,24.33
Robin Williams15.jpg,1.70 m,59 kg,1.7,59,20.41522491,20.42
Robert Shaw6.jpg,1.79 m,70 kg,1.79,70,21.84700852,21.85
Mark Ruffalo18.jpg,1.73 m,77 kg,1.73,77,25.72755521,25.73
Marcia Gay Harden10.jpg,1.63 m,54 kg,1.63,54,20.32443826,20.32
Kim Novak2.jpg,1.68m,55kg,1.68,55,19.48696145,19.49
Kevin Kiley Jr0.jpg,1.93m,122kg,1.93,122,32.75255712,32.75
Roberto Benigni5.jpg,1.78 m,73 kg,1.78,73,23.0400202,23.04
Lupita Nyong o8.jpg,1.65m,51kg,1.65,51,18.73278237,18.73
Kevin James8.jpg,1.72m,113kg,1.72,113,38.19632234,38.2
Maggie Gyllenhaal16.jpg,1.73m,59kg,1.73,59,19.71332153,19.71
Roberto Benigni8.jpg,1.78 m,73 kg,1.78,73,23.0400202,23.04
Renee Zellweger14.jpg,1.56 m,57 kg,1.56,57,23.42209073,23.42
Louis Gossett Jr14.jpg,1.88m,90kg,1.88,90,25.46401086,25.46
Philip Seymour Hoffman15.jpg,1.91 m,91 kg,1.91,91,24.94449165,24.94
R. Kelly10.jpg,1.78 m,91 kg,1.78,91,28.72112107,28.72
Laura Dern18.jpg,1.78m,61kg,1.78,61,19.25261962,19.25
